;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID31;ID32;ID33;ID34;ID35;ID36;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID77
ID22;0.985610;0.992147;0.992640;0.995254;0.988942;0.992723;0.991403;0.986742;0.976635;0.988348;0.992661;0.987446;0.908481;0.913798;0.918634;0.886563;0.888411;0.912694;0.997666;0.890920;0.000000;0.881225;0.952601;0.903226;0.906145;0.905461;0.921210;0.932287;0.979518;0.999340;0.923004;0.948421;0.925588;0.959484;0.967091;0.945065;0.921108;0.999374;0.901425;0.999813;0.980265;0.960906;0.981819;0.937648;0.911078;0.978127;0.967096;0.933888;0.993158;0.891098;0.848216;0.929228;0.937116;0.842548;0.980828;0.936719;0.956316;0.879637;0.933458;0.992891;0.914593;0.901663;0.883866;0.905003
ID23;0.986396;0.990214;0.991202;0.994446;0.986965;0.991055;0.990619;0.987812;0.975547;0.989056;0.992192;0.985805;0.933265;0.832399;0.864416;0.788073;0.754065;0.828297;0.997373;0.939474;0.881225;0.000000;0.845329;0.788540;0.931531;0.934792;0.947793;0.954682;0.984249;0.999460;0.944270;0.963318;0.945399;0.960595;0.946292;0.865900;0.765527;0.999216;0.934309;0.999740;0.938670;0.895354;0.939756;0.822264;0.793237;0.924989;0.932956;0.869207;0.980170;0.804815;0.760959;0.841378;0.907824;0.858553;0.945213;0.824163;0.872596;0.757554;0.884517;0.979997;0.876316;0.896301;0.903190;0.835805
ID24;0.997776;0.998491;0.998038;0.998746;0.998527;0.998038;0.998422;0.998382;0.998204;0.998928;0.998956;0.995102;0.990566;0.891761;0.930476;0.883587;0.855130;0.894137;0.998722;0.986949;0.952601;0.845329;0.000000;0.876989;0.984707;0.990934;0.991698;0.990208;0.997842;0.999337;0.980798;0.994400;0.994213;0.990648;0.991219;0.926774;0.818740;0.999265;0.992621;0.999661;0.917278;0.926679;0.929385;0.850141;0.865101;0.904892;0.990037;0.969824;0.971322;0.905068;0.880006;0.894404;0.959347;0.967202;0.926652;0.872485;0.888731;0.855906;0.929726;0.970847;0.940909;0.970182;0.979979;0.916836
ID25;0.987847;0.992588;0.992901;0.995443;0.989840;0.992999;0.992720;0.989459;0.981789;0.990978;0.993426;0.989212;0.946724;0.849155;0.889120;0.814471;0.797581;0.845808;0.997878;0.951847;0.903226;0.788540;0.876989;0.000000;0.945571;0.947850;0.955867;0.957096;0.986228;0.999408;0.955709;0.969993;0.962412;0.969572;0.962130;0.904143;0.797942;0.999359;0.948163;0.999805;0.952013;0.922979;0.952274;0.862176;0.846892;0.946472;0.955763;0.909579;0.988308;0.853411;0.787779;0.885620;0.934978;0.885347;0.957580;0.865746;0.904368;0.803204;0.912026;0.985047;0.907319;0.926108;0.928464;0.847265
ID26;0.974823;0.987182;0.988533;0.992865;0.981909;0.988238;0.984323;0.976452;0.959397;0.982007;0.989422;0.978106;0.904984;0.947202;0.944208;0.926250;0.934936;0.947922;0.997021;0.909649;0.906145;0.931531;0.984707;0.945571;0.000000;0.798465;0.868587;0.882500;0.962129;0.998788;0.864465;0.875012;0.899368;0.932740;0.964394;0.966651;0.963174;0.999627;0.910116;0.999746;0.993527;0.979635;0.992801;0.966528;0.946177;0.991960;0.969996;0.945449;0.990846;0.916167;0.892567;0.958304;0.941039;0.849274;0.986834;0.964226;0.978027;0.913753;0.937856;0.995516;0.915199;0.906496;0.885056;0.931931
ID27;0.974823;0.986812;0.988759;0.992799;0.981625;0.988032;0.984906;0.976725;0.958571;0.981684;0.989133;0.977979;0.904233;0.951485;0.947092;0.931235;0.937987;0.951271;0.997222;0.906503;0.905461;0.934792;0.990934;0.947850;0.798465;0.000000;0.873456;0.893642;0.963811;0.999370;0.881936;0.884302;0.895549;0.935315;0.966375;0.968353;0.968102;0.999572;0.904560;0.999697;0.998045;0.982078;0.996527;0.971115;0.951156;0.996078;0.972362;0.950578;0.996708;0.919851;0.893258;0.960817;0.941612;0.849888;0.994460;0.968378;0.981823;0.915961;0.940235;0.997577;0.916211;0.906640;0.883696;0.934121
ID28;0.981444;0.991558;0.992468;0.995120;0.987888;0.991993;0.989629;0.974919;0.973987;0.986349;0.991912;0.985611;0.926124;0.956953;0.956761;0.939734;0.951440;0.957061;0.997632;0.925582;0.921210;0.947793;0.991698;0.955867;0.868587;0.873456;0.000000;0.887612;0.970124;0.999337;0.898598;0.910197;0.931458;0.946934;0.974742;0.978123;0.975087;0.999684;0.925022;0.999857;0.995422;0.986923;0.997225;0.979807;0.962659;0.997069;0.979474;0.961046;0.996959;0.939473;0.907583;0.972907;0.962153;0.869595;0.993586;0.977658;0.987407;0.940884;0.961761;0.998343;0.945159;0.934305;0.916638;0.938158
ID29;0.984285;0.994778;0.994715;0.996465;0.991534;0.994961;0.991789;0.979290;0.984392;0.990039;0.993249;0.990945;0.943447;0.962332;0.962820;0.937307;0.959060;0.957201;0.997534;0.944610;0.932287;0.954682;0.990208;0.957096;0.882500;0.893642;0.887612;0.000000;0.971200;0.998925;0.920510;0.914682;0.964678;0.951933;0.982313;0.984215;0.979421;0.999814;0.946613;0.999940;0.998314;0.991696;0.997090;0.986658;0.975322;0.996760;0.986136;0.972815;0.996780;0.958813;0.902785;0.983738;0.979012;0.858296;0.996114;0.984864;0.991831;0.958479;0.977648;0.998850;0.967345;0.961560;0.949193;0.917336
ID31;0.984262;0.992197;0.993738;0.995892;0.989719;0.993286;0.989702;0.979704;0.975246;0.989437;0.994537;0.985036;0.974590;0.985722;0.984603;0.982692;0.984079;0.987222;0.998495;0.980215;0.979518;0.984249;0.997842;0.986228;0.962129;0.963811;0.970124;0.971200;0.000000;0.998960;0.973633;0.971921;0.976714;0.983963;0.989405;0.989836;0.990561;0.999912;0.980068;0.999910;0.998957;0.993053;0.997891;0.990788;0.987980;0.998913;0.992682;0.987703;0.998973;0.979127;0.976600;0.989262;0.983097;0.970061;0.998744;0.989369;0.993589;0.976521;0.980715;0.998430;0.975385;0.975102;0.972035;0.980895
ID32;0.999355;0.999811;0.999665;0.999679;0.999792;0.999709;0.999053;0.999467;0.999705;0.999479;0.999473;0.999198;0.999578;0.999415;0.999348;0.999119;0.999434;0.999423;0.998840;0.999472;0.999340;0.999460;0.999337;0.999408;0.998788;0.999370;0.999337;0.998925;0.998960;0.000000;0.998470;0.999412;0.999692;0.999593;0.999690;0.999536;0.999618;0.999992;0.999560;0.999983;0.999460;0.999827;0.999767;0.999805;0.999707;0.999729;0.999799;0.999679;0.999708;0.999598;0.999140;0.999830;0.999760;0.999255;0.999506;0.999727;0.999846;0.999582;0.999669;0.999594;0.999584;0.999368;0.999419;0.999050
